Entity,Type,Geo,Stages of Investing,Market,Yearly Deals,Leads,URL,General Notes
Top Harvest Capital,VC Firm,"US | CA,EU | UK,SE Asia",Seed,Software,3,Sometimes,,Health biotech
Eclipse Ventures,VC Firm,"US | CA,Israel","Seed,A,B+","Software,Device",16,Usually,,"Various industries, largely software companies"
Actual VC,VC Firm,"Global,US | CA","Pre-Seed,Seed,A,B+",Materials,8,,,Deeptech with some interest in biotech
Bee Partners,VC Firm,US | CA,"Seed,Pre-Seed,A","Materials,Software,Agriculture,Device",8,Sometimes,,"""leads pre-seed deeptech investing, writing first checks to Founders building AI/ML, Robotics, Automation, MFG and related tech"""
Curie.Bio,Accelerator,"US | CA,AU | NZ",Seed,Therapeutic,4,Usually,,
EGB Capital,VC Firm,US | CA,"Seed,Pre-Seed,A","Software,Device",4,,,
Genesis Consortium,VC Firm,US | CA,"Seed,Pre-Seed","Vaccine,Research tool,Materials",4,Never,,An alliance of venture funds and corporations to promote human and planetary health
QuadraScope,VC Firm,US | CA,"Seed,A,Pre-Seed","Therapeutic,Vaccine,Service",4,Never,,Longevity
Undeterred Capital ,VC Firm,"US | CA,EU | UK","Pre-Seed,Seed","Device,Materials,Software,Food,Agriculture,Therapeutic,Diagnostic,Research tool,Reagents",4,Sometimes,,Biological platforms and applied robotics
Founders Fund,VC Firm,"US | CA,India","A,B+,Seed","Materials,Software,Device,Diagnostic",44,Usually,,"""Smart people solving difficult problems, often difficult scientific or engineering problems"""
 Leaps by Bayer,Corp VC,"US | CA,EU | UK","B+,A","Food,Agriculture,Therapeutic,Software",11,Never,,
Venrock,VC Firm,"US | CA,EU | UK","A,B+","Software,Something else,Therapeutic",11,Sometimes,,Broad tech focus with a history of biotech
Playground Global,VC Firm,"US | CA,AU | NZ","A,Seed,B+","Therapeutic,Software,Vaccine,Device,Diagnostic,Agriculture",4,Usually,,
Moore Strategic Ventures ,VC Firm,"US | CA,India,LATAM,EU | UK","A,B+","Therapeutic,Diagnostic,Device,Software",14,Usually,,Generalist fund with recent inclusion of large health deals
Vertical Venture Partners,VC Firm,US | CA,"A,Seed,B+","Agriculture,Software,Diagnostic,Service,Something else,Therapeutic,Vaccine",7,Usually,,"""enterprise technology companies"" in various markets"
Fast Track Initiative,VC Firm,"JP | KR,US | CA","A,B+","Therapeutic,Software,Device,Diagnostic",6,Sometimes,,
Aphelion Capital,VC Firm,"US | CA,EU | UK","B+,A,Seed","Device,Software",3,Sometimes,,"""Medical technology and digital health companies"""
First Bight Ventures,"VC Firm,Accelerator","US | CA,MENA,Israel","Seed,A",Materials,3,Usually,,"""Early stage synbio for health, supply chain, energy transition, employment, inflation, climate change and the environment"". First Bight runs the BioWell accelerator
2024-06-09 raising Fund 2
"
Genoa Ventures,VC Firm,US | CA,"A,B+,Seed","Diagnostic,Device,Materials,Veterinary,Food",3,Usually,,"""Contrarian early-stage companies innovating at the convergence of biology and technology""
A particular interest in neuro"
Noxo Capital,Angel Group,"US | CA,EU | UK","Pre-Seed,Seed,A","Therapeutic,Agriculture,Software,Diagnostic,Vaccine,Service,Device,Materials,Food,Reagents",3,Never,,"AngelList fund
Synthetic Biology, Quantum Computing, and Artificial Intelligence"
Telegraph Hill Partners,VC Firm,US | CA,"A,B+","Service,Device,Research tool,Therapeutic",3,Usually,,"Life sciences, medical device, and healthcare technology"
Asymmetry Ventures ,VC Firm,US | CA,Seed,"Software,Therapeutic,Service,Device,Something else,Materials",20,Never,,Active AngelList syndicate that invests in bio and a lot of other things
Wing Venture Capital ,VC Firm,"US | CA,Israel,EU | UK","Seed,A","Therapeutic,Diagnostic,Software",10,Usually,,"""AI-first transformation of business"""
Hawktail Management,VC Firm,"US | CA,EU | UK,AU | NZ","Seed,A","Materials,Therapeutic,Research tool,Diagnostic,Software,Cosmetic",5,Never,,
The Yield Lab,VC Firm,"US | CA,EU | UK","Seed,A","Agriculture,Food,Service,Veterinary,Device,Something else",5,Usually,,"Agriculture and food tech companies with technologies focused on crops, animal health, digital ag and logistics"
 Portal Innovations,VC Firm,US | CA,"Seed,A,Pre-Seed","Therapeutic,Device,Something else",4,Never,,
Cambrian Partners,VC Firm,US | CA,"Seed,A","Therapeutic,Diagnostic,Vaccine,Reagents",4,Usually,,"$1M-$3M check size
$3M-$7M round size"
Embark Ventures,VC Firm,US | CA,"Seed,Pre-Seed,A,B+","Device,Research tool,Software,Agriculture",4,Sometimes,,Deeptech
Sontag Innovation Fund,VC Firm,US | CA,"Seed,A,Pre-Seed","Therapeutic,Diagnostic,Device,Software,Research tool,Reagents,Service",4,Sometimes,https://sontagfoundation.org/innovation-fund/,"Venture philanthropy for brain cancer, mostly seed stage and series A"
SV Dementia Discovery Fund,VC Firm,"EU | UK,US | CA","Seed,A,B+",Therapeutic,4,Usually,,Any and all neuro therapeutics
Xcellerant Ventures,VC Firm,US | CA,A,"Software,Diagnostic,Device",9,Usually,,Medical
Merck Global Health Innovation Fund,Corp VC,"EU | UK,US | CA,India","A,B+","Therapeutic,Vaccine,Diagnostic,Software",12,,,
Emerald Bioventures,VC Firm,US | CA,"Pre-Seed,Seed","Device,Service,Therapeutic",3,Sometimes,,
JAFCO,VC Firm,JP | KR,"Seed,A,B+","Therapeutic,Something else,Software",16,Usually,,Japanese tech and biotech
 MPM Capital,VC Firm,"US | CA,EU | UK","A,B+,Seed",Therapeutic,8,Sometimes,,
Novalis Fund,VC Firm,"EU | UK,US | CA","Seed,Pre-Seed","Device,Diagnostic,Research tool,Software,Therapeutic",4,Usually,,A leaning towards devices and manufacturing products and diagnostics
Vensana Capital,VC Firm,US | CA,"A,B+","Device,Therapeutic",4,Usually,,Based in Minneapolis
Bioverge,VC Firm,US | CA,Seed,"Software,Device,Therapeutic,Diagnostic",2,Never,,Health and medical
Compound.vc,VC Firm,"US | CA,EU | UK","Pre-Seed,Seed,A","Software,Something else,Service,Research tool,Device,Therapeutic,Diagnostic,Cosmetic,Food,Agriculture,Veterinary,Vaccine,Materials,Reagents",10,Usually,,
Fellows Fund,VC Firm,US | CA,"Seed,Pre-Seed",Software,6,Sometimes,,
Better Ventures,VC Firm,US | CA,Seed,"Materials,Food",5,Sometimes,,
Meliorate Partners,VC Firm,US | CA,"Pre-Seed,Seed","Materials,Agriculture,Research tool,Software",5,Never,,"""Founder to Pre-Seed Stage innovations, reimagining an economy where nature and humanity thrive together""
Very focused on climate, energy, and natural resources"
Two Bear Capital,VC Firm,US | CA,"Seed,A,B+","Therapeutic,Software,Something else",5,Usually,,"Bio and other tech
Special interest in Montana and the Rockies region"
GKCC,VC Firm,US | CA,"A,B+",Therapeutic,3,,,
Pangea Ventures,VC Firm,US | CA,"A,B+","Materials,Agriculture,Food,Device",3,Usually,,"""Companies solving fundamental problems in the world with hard technology; Impact Investor"""
PsyMed Ventures,VC Firm,US | CA,"Seed,A","Therapeutic,Device,Service",3,Never,,"""transformational technologies that elevate mental health & wellness: psychedelic medicine, neurotechnology, precision psychiatry and digital therapeutics"""
T.Rx Capital,VC Firm,,"Seed,A","Software,Diagnostic,Device,Service",3,,,"Healthcare services, diagnostics. ""Tech + bio transforming healthcare with global scalability and founders understanding of market dynamics"""
Axial VC ,VC Firm,US | CA,"Seed,A","Therapeutic,Materials,Software",2,Never,,
Focalpoint Partners,VC Firm,"US | CA,AU | NZ","Seed,Pre-Seed","Therapeutic,Device,Software,Service",7,Never,https://www.focalpointlp.com/,"Formerly called Empath Ventures;
Has a history of investing in psychadelics"
Fulcrum Global Capital,VC Firm,"US | CA,Israel,EU | UK","A,B+,Seed","Agriculture,Food,Device,Software,Something else",4,,,AgTech
Lightstone Ventures,VC Firm,"EU | UK,US | CA","A,B+","Therapeutic,Diagnostic,Device,Software",4,Usually,,
Mid Atlantic Bio Angels,Angel Group,"US | CA,Israel,EU | UK","A,B+,Seed","Therapeutic,Research tool,Device",2,Never,,
 Matrix Capital Management ,VC Firm,US | CA,"B+,A","Therapeutic,Something else",3,Usually,,Mostly a late-stage investment firm in therapeutics and other healthcare
Maxpro Ventures,VC Firm,SE Asia,"A,B+,Seed","Therapeutic,Device,Service,Diagnostic,Software,Materials,Something else",5,,,"Taiwan-based firm. ""Breakthrough biomedical technology companies worldwide"""
Notley Ventures,VC Firm,,"Seed,A","Service,Software,Therapeutic,Device",5,Never,,An Austin and mountain west focus
 Susa Ventures,VC Firm,US | CA,"Seed,Pre-Seed,A","Software,Something else",12,Usually,,
Zubi Capital,VC Firm,EU | UK,Seed,"Therapeutic,Agriculture,Materials,Something else,Software",6,Usually,,UK and EU impact investing
Deep Science Ventures,Accelerator,"EU | UK,US | CA","Seed,A,Pre-Seed","Agriculture,Software,Therapeutic,Vaccine,Materials,Service",8,,https://www.deepscienceventures.com/,
Foreground Capital,VC Firm,"US | CA,EU | UK","Seed,A","Device,Software,Diagnostic,Therapeutic,Vaccine",8,,,devoted to women's health
Lumira Ventures,VC Firm,US | CA,"B+,A","Device,Therapeutic,Diagnostic",8,,,"""Canada's leading health care & life sciences venture capital firm"""
7G BioVentures,VC Firm,"US | CA,EU | UK","Seed,A","Therapeutic,Software,Device",4,,,
Brilliant Minds,VC Firm,,"Pre-Seed,Seed",,4,,,"US and Europe, life sciences and emerging tech, a founder over 55 years old"
MBX Capital,VC Firm,US | CA,"Seed,A","Therapeutic,Device,Something else,Service",4,Sometimes,,health in general
Pappas Capital,VC Firm,"US | CA,China,SE Asia","A,B+","Therapeutic,Device,Software,Something else,Diagnostic",4,Sometimes,,
SBXi,VC Firm,US | CA,Seed,"Diagnostic,Therapeutic,Something else",4,Never,,MIT founders
 Open Philanthropy,VC Firm,"US | CA,EU | UK","Pre-Seed,Seed,A,B+","Therapeutic,Vaccine,Software",2,Usually,https://www.openphilanthropy.org/,Gives grants
DigitalDx Ventures,VC Firm,"US | CA,EU | UK","Seed,A",Diagnostic,2,Usually,,"Just diagnostics.
A particular interest in female-run companies"
Blue Owl,VC Firm,"US | CA,EU | UK",B+,"Therapeutic,Something else",11,Sometimes,https://www.blueowl.com/,"Late stage credit/debt, venture, and real estate fund"
Myeloma Investment Fund,VC Firm,"US | CA,Israel","A,Seed,B+",Therapeutic,3,Sometimes,,Seed / Series A-stage companies with active myeloma programs
Freeflow Capital,VC Firm,US | CA,"Seed,Pre-Seed","Device,Research tool,Diagnostic,Therapeutic,Vaccine,Reagents,Agriculture,Food,Materials,Software,Something else",10,,https://freeflow.io/,Caltech-associated startups working on health and planetary health
LDV Partners,VC Firm,US | CA,"Seed,B+,A","Device,Research tool,Software",5,Never,,
Medicxi,VC Firm,"EU | UK,US | CA,China","A,B+,Seed",Therapeutic,4,Usually,,
Oncology Ventures,VC Firm,"US | CA,EU | UK","Seed,Pre-Seed","Service,Diagnostic,Research tool",4,Sometimes,,"""Data-driven healthcare firms that improve cancer treatment and research"""
ATEM Capital,VC Firm,"US | CA,EU | UK","A,B+","Software,Therapeutic,Research tool",2,Never,,
Cystic Fibrosis Foundation,"Endowment,VC Firm",US | CA,"A,Seed,B+",Therapeutic,2,Sometimes,https://www.cff.org/,Looks for startups capable of large gene insertion
 Sante Ventures,VC Firm,US | CA,"B+,A,Seed","Device,Therapeutic,Software",6,Usually,,
Anzu Partners,VC Firm,US | CA,"A,B+","Device,Software,Materials",6,,,
Courtyard Ventures ,VC Firm,US | CA,"Seed,Pre-Seed,A","Software,Device,Research tool",6,,,
Spacecadet Ventures,VC Firm,US | CA,"Seed,Pre-Seed","Cosmetic,Food,Software,Therapeutic,Device,Materials",11,Never,,Deeptech with a story to tell
Creacion Ventures,VC Firm,"US | CA,China","A,B+",Therapeutic,1,Never,,
Cannage Capital / 11.2 Capital,VC Firm,US | CA,"B+,A,Seed,Pre-Seed","Something else,Software,Device,Therapeutic",8,Never,,
Dangerous Ventures,VC Firm,"US | CA,EU | UK","Seed,Pre-Seed,A","Something else,Software,Materials",4,Never,,"""Early-stage startups with environmental or social impacts in the areas of climate and human resilience"""
Pacific 8 Ventures ,VC Firm,US | CA,"Seed,A","Software,Diagnostic,Therapeutic,Research tool",1,,,"Taiwan-based firm.
Investment focus on healthcare delivery, among others
""High-performing companies in the area of synthetic biology, gene therapy, CRISPR, machine learning/artificial intelligence, digital therapeutics, and more"""
Pandect Bioventures,VC Firm,US | CA,"B+,A",Therapeutic,1,,,
Pi Campus ,"VC Firm,Accelerator",,Seed,,1,,,Incubator. Software focus
Argonautic Ventures,VC Firm,"US | CA,EU | UK","Seed,A","Therapeutic,Food,Agriculture,Reagents,Device,Software,Diagnostic,Vaccine,Veterinary",5,Never,,
Voyager Ventures,VC Firm,"US | CA,EU | UK","Seed,A","Materials,Agriculture,Food,Service",5,Usually,,climate technology
Propel Bio Partners,VC Firm,US | CA,"Seed,A,B+","Therapeutic,Diagnostic,Software",1,,,Early stage Dx and Tx for human health
Keiretsu Forum,Angel Group,"US | CA,India,EU | UK",Seed,"Device,Software,Something else",7,Never,,"Keiretsu charges startups to pitch, even if the group makes no investment"
Broadview Ventures,VC Firm,,"Seed,A",,1,,,"""Technology solutions in cardiovascular and neurovascular (stroke)"""
Codon capital,VC Firm,,"A,B+",,1,,,
Conscience VC ,VC Firm,,"Pre-Seed,Seed",,1,,,"""Science empowering humanity"""
FACIT,VC Firm,,Seed,,1,,,Toronto area life sciences
Panacea Venture,VC Firm,"China,US | CA","Seed,A,B+",Therapeutic,1,Sometimes,,US and China therapeutics
Pathway Bioventures,VC Firm,,Seed,,1,,,"Tx, Dx, devices, etc"
AIX,VC Firm,"US | CA,EU | UK","Seed,Pre-Seed","Software,Research tool,Something else,Materials,Therapeutic,Diagnostic,Device",6,Sometimes,,Mostly and AI software VC
The House Fund,"VC Firm,Accelerator",US | CA,"Pre-Seed,Seed,A",Software,6,,,"Berkeley, CA startups
""pre-seed and early stage venture capital fund focused on the boldest Berkeley startups"""
Cove Fund,VC Firm,US | CA,Seed,"Therapeutic,Diagnostic,Vaccine,Cosmetic,Food,Agriculture,Veterinary,Materials,Software,Device,Reagents,Research tool,Service,Something else",4,,,Southern California startups
MIT Angels,Angel Group,,Seed,,4,,,
Necessary Ventures,VC Firm,US | CA,"Pre-Seed,Seed","Materials,Software,Something else",4,Never,,"Mostly environmental sustainability, some health"
Unless,VC Firm,,,,4,,,"Investing to create sustainable impact, improve human experience, and generate outsized financial returns."
Hyphen Capital,VC Firm,,"Seed,A,B+","Food,Cosmetic,Diagnostic",2,,,
First In Ventures,VC Firm,"US | CA,EU | UK,India",Seed,"Therapeutic,Diagnostic,Vaccine,Cosmetic,Service,Research tool",1,,,Deep tech with a health tendency
Oxford Seed Fund,VC Firm,"EU | UK,US | CA","Seed,Pre-Seed","Something else,Diagnostic,Therapeutic,Device,Software,Service,Food",8,Sometimes,,"startups where either a current Oxford student, alumni or researcher is part of the founding team"
Mythos Ventures,VC Firm,US | CA,"Pre-Seed,Seed","Software,Something else,Device",10,,,"$100k - $1M checks into pre-seed and seed-stage companies; ""prosocial technologies for the transformative AI era"""
 Agent Capital,VC Firm,US | CA,B+,"Therapeutic,Diagnostic",5,Sometimes,,
BASF Ventures,Corp VC,"EU | UK,US | CA,China","A,B+","Materials,Software,Food,Agriculture",5,Usually,,
First Spark Ventures,VC Firm,,"Seed,A,B+","Therapeutic,Materials,Software,Service",5,Sometimes,,"VC firm of Schmidt Futures, focusing on sustainability, AI, health"
Middle Cove Capital,VC Firm,US | CA,Seed,"Device,Food,Materials,Software",5,Never,,Human health and sustainability. $200k-$300k checks. Runs occasional AngelList syndicates
The Blue Venture Fund,Corp VC,US | CA,"A,B+",Software,5,Sometimes,,Blue Cross Blue Shield insurance company's VC fund
Asset Management Ventures,VC Firm,,"Seed,A,B+",,3,,,Software for healthcare
 The Venture Collective,VC Firm,"EU | UK,US | CA","A,Seed,B+","Software,Food,Therapeutic,Agriculture,Service",4,,,
Harpoon Ventures,VC Firm,US | CA,"A,B+","Something else,Diagnostic",4,,,
Little Green Bamboo,VC Firm,US | CA,"Pre-Seed,Seed",,2,,,"""academic innovation ecosystems... world's biggest problems"""
Midnight Venture Partners,VC Firm,US | CA,Seed,"Food,Cosmetic",2,,,"""Growth-stage consumer brands"""
Santa Cruz Ventures,VC Firm,,"Pre-Seed,Seed,A",,1,,,UC Santa Cruz and other Santa Cruz based companies
 OUP (Osage University Partners),VC Firm,US | CA,"B+,A,Seed","Device,Therapeutic",7,Never,,
Hula,VC Firm,US | CA,Seed,"Software,Research tool",1,,,Vermont-based tech startups
Lifeforce Capital,VC Firm,,"A,B+",,1,,,
11.2 Capital,VC Firm,US | CA,"A,Seed,B+,Pre-Seed","Software,Device",5,Sometimes,,Technology startups with a global vision
Hack VC,VC Firm,,"Pre-Seed,Seed,A",Something else,24,,,Crypto
Unruly Capital,VC Firm,"EU | UK,US | CA","Pre-Seed,Seed","Something else,Device,Software,Agriculture,Service,Materials,Food",3,Never,,deeptech with $50k to $250k checks
Uncorrelated Ventures,VC Firm,"US | CA,EU | UK","Seed,A,B+",Software,22,Never,,"Open source, infrastructure, B2B SaaS, AI"
Valkyrie Ventures,VC Firm,,"Pre-Seed,Seed",,1,,,Early deeptech
Santa Clara Ventures,VC Firm,US | CA,"Pre-Seed,Seed,A","Software,Device,Materials,Something else",2,Never,,Santa Clara University alumni companies
Berkeley SkyDeck,"Accelerator,VC Firm",,,,30,,,"""SkyDeck Berkeley is a research university accelerator that serves as an apex startup launchpad for [UC Berkeley] affiliated entrepreneurs."""
Tau Ventures,VC Firm,US | CA,Seed,"Software,Service,Something else",8,,,
Astellas Venture Management,VC Firm,,"Seed,A,B+",,6,,,
BioTools Innovator,Accelerator,"US | CA,EU | UK",,"Research tool,Diagnostic",4,,https://biotoolsinnovator.org/,Gives a lot of grants
Creative Destruction Lab,Accelerator,,,,4,,,"Based at University of Toronto: five sites in Canada, three in the United States, four in Europe, and one in Australia"
BioGenerator Labs,Accelerator,US | CA,"Seed,Pre-Seed,A","Agriculture,Diagnostic",3,,https://www.biogeneratorventures.com/,"health and plant sciences, based in Missouri"
Rosenman Institute at UCSF,Accelerator,,,,2,,,"""A community of investors, clinicians, and technology entrepreneurs who create solutions for unmet clinical needs"""
Fundomo,VC Firm,,,,1,Usually,,"Deeptech, large ownership in a small number of deals"
Astor Group,VC Firm,,,,0,,https://astorgrp.com/,Private equity and other alternative assets investor
CaaS Capital Management,VC Firm,,,,0,,,Late stage private and public bioscience deals
CaerusX Ventures,VC Firm,,,,0,,,
Harmonix Fund,VC Firm,US | CA,"Seed,A,B+","Therapeutic,Vaccine,Device,Service,Software,Research tool",0,,,
Illumina Ventures Labs,Accelerator,"US | CA,China","Pre-Seed,Seed","Therapeutic,Diagnostic,Agriculture,Software",0,,,
Magnet Venture,VC Firm,"US | CA,EU | UK",Seed,"Therapeutic,Software",0,Never,,AI-enabled biotechnology
Middleland Capital,VC Firm,,"B+,A",,0,,,Mostly agtech
Natural Capital,VC Firm,,,,0,,,
Rhythm VC,VC Firm,US | CA,"Pre-Seed,Seed","Device,Service,Therapeutic",0,,,
Saba Investments ,VC Firm,US | CA,"Pre-Seed,Seed",,0,,,
SeedFolio.vc,VC Firm,,Seed,,0,,,"Joe Gatto's fund to ""conquer disease or clean the planet"""
Trekk Venture Partners,VC Firm,,,,0,,,Life-changing medicines
Valere Venture,VC Firm,,,,0,,,Sino-US medical and other technologies
 Farallon Capital Management,VC Firm,,,,,,https://www.faralloncapital.com/,
ARCHina Capital Partners,VC Firm,,,,,,,"Hong Kong based firm. ""Entrepreneurs aspiring to build next-generation companies with global potential"""
Blueward Ventures,VC Firm,,,,,,https://bluewardventures.com/,UCLA-focused fund
Helene Ventures,VC Firm,,,,,,,Early stage climate tech and mobility startups
HM Venture Partners,VC Firm,China,,,,,,
Humaine Ventures,VC Firm,,,,,,,"Linda Avey's fund
AI + life sciences for drug development, healthcare strategies, and precision health"
Human Ventures,VC Firm,,,,,,,
IAG Capital Partners,VC Firm,,,,,,,
Initiate Ventures,"VC Firm,Accelerator",,"Seed,A",,,,,"""Diagnostics, especially based on DNA and cells, research device tools, synbio, precision medicine, platform therapeutics, SaaS for life sciences, health tech, biology as a service"""
Johnson & Johnson,Corp VC,,,,,,,
Lab Central,Accelerator,,,,,,,
LaunchBio,Accelerator,US | CA,,"Therapeutic,Vaccine,Diagnostic,Reagents",,,https://launchbio.org/,Educational material and connections
Nucleate,Accelerator,,,,,,,"""a collaborative venture program enabling the formation of biotechnology companies addressing climate & sustainability challenges"""
Qiagen,"Company,Corp VC",,,,,,,
StartX Med,Accelerator,,,,,,,startups associated with Stanford
Vye Ventures,VC Firm,,,,,,,
XLerateHealth,Accelerator,,,,,,,enterprise-focused early stage healthcare companies
Xontogeny,Accelerator,,,,,,,"""a biotech aggregator that seeks to accelerate the development of life science technologies"""
